Timestamp,From Bank,To Bank,text_formatAccount,Amount Received,Amount Paid,text_formatReceiving Currency,text_formatPayment Currency,text_formatPayment Format
2023-01-01 00:00:00,Bank C,Bank C,ACC000000,247.6801748888949,592.2044151279559,EUR,GBP,SWIFT
2023-01-01 01:00:00,Bank D,Bank D,ACC000001,355.9584100299628,740.4997873032996,USD,USD,ACH
2023-01-01 02:00:00,Bank A,Bank C,ACC000002,1617.7942239463898,390.7912184720927,USD,GBP,ACH
2023-01-01 03:00:00,Bank C,Bank D,ACC000003,339.042908695624,450.67562131945243,GBP,EUR,ACH
2023-01-01 04:00:00,Bank C,Bank D,ACC000004,3336.3554421278554,1693.2023931394149,EUR,USD,ACH
2023-01-01 05:00:00,Bank D,Bank C,ACC000005,1021.349130394973,1250.8959996933006,EUR,EUR,WIRE
2023-01-01 06:00:00,Bank A,Bank B,ACC000006,1194.6334775169723,1792.8942770527767,EUR,GBP,SWIFT
2023-01-01 07:00:00,Bank A,Bank D,ACC000007,830.1671220521242,1358.3342199096166,GBP,USD,SWIFT
2023-01-01 08:00:00,Bank C,Bank C,ACC000008,2375.22592567317,2217.949947485058,USD,USD,WIRE
2023-01-01 09:00:00,Bank B,Bank A,ACC000009,2399.8460963931975,2639.1548126394973,EUR,EUR,WIRE
2023-01-01 10:00:00,Bank C,Bank C,ACC000010,1533.1111051968853,192.15135718388578,USD,GBP,WIRE
2023-01-01 11:00:00,Bank C,Bank A,ACC000011,1929.0619083941097,466.7017252203477,USD,GBP,WIRE
2023-01-01 12:00:00,Bank C,Bank D,ACC000012,887.0579653659186,870.1138302954538,USD,USD,ACH
2023-01-01 13:00:00,Bank C,Bank C,ACC000013,1885.9802795508087,1072.0440953562872,USD,USD,ACH
2023-01-01 14:00:00,Bank D,Bank C,ACC000014,782.2092004506873,561.1057700594582,USD,USD,WIRE
2023-01-01 15:00:00,Bank A,Bank A,ACC000015,1099.0831620132014,2729.909318575488,GBP,USD,ACH
2023-01-01 16:00:00,Bank D,Bank C,ACC000016,833.2687762053031,7942.222034416096,USD,USD,ACH
2023-01-01 17:00:00,Bank D,Bank C,ACC000017,694.2148263634394,1321.0233172552653,EUR,GBP,SWIFT
2023-01-01 18:00:00,Bank D,Bank D,ACC000018,550.5337170190767,1193.1367376852625,EUR,USD,ACH
2023-01-01 19:00:00,Bank C,Bank C,ACC000019,1750.5584037182903,2564.339591118237,EUR,EUR,SWIFT
2023-01-01 20:00:00,Bank B,Bank B,ACC000020,4066.776349237351,169.72173530463655,GBP,USD,ACH
2023-01-01 21:00:00,Bank A,Bank A,ACC000021,3537.2397547009364,1128.3017898169517,USD,USD,SWIFT
2023-01-01 22:00:00,Bank B,Bank C,ACC000022,312.1346496354363,2919.1151702885063,EUR,GBP,SWIFT
2023-01-01 23:00:00,Bank D,Bank A,ACC000023,3980.6605482595037,576.4254420929036,EUR,GBP,SWIFT
2023-01-02 00:00:00,Bank D,Bank A,ACC000024,797.786883406834,321.64209466097384,EUR,GBP,SWIFT
2023-01-02 01:00:00,Bank B,Bank A,ACC000025,1999.6611399168,910.6825651126903,USD,EUR,WIRE
2023-01-02 02:00:00,Bank B,Bank C,ACC000026,443.09521000293944,1032.0625625170558,EUR,GBP,ACH
2023-01-02 03:00:00,Bank B,Bank C,ACC000027,1263.9283827363097,442.0167238314045,USD,USD,WIRE
2023-01-02 04:00:00,Bank D,Bank A,ACC000028,1500.7543833444067,8920.981704271437,EUR,GBP,ACH
2023-01-02 05:00:00,Bank D,Bank B,ACC000029,248.48816237405995,679.4635698564842,EUR,EUR,WIRE
2023-01-02 06:00:00,Bank A,Bank A,ACC000030,2014.783785907226,345.96604990216366,USD,USD,ACH
2023-01-02 07:00:00,Bank A,Bank B,ACC000031,4213.019994352672,998.6243490237199,EUR,USD,WIRE
2023-01-02 08:00:00,Bank D,Bank A,ACC000032,920.9005540053649,2718.5682382471105,GBP,EUR,WIRE
2023-01-02 09:00:00,Bank B,Bank D,ACC000033,4273.413198498012,1115.897451071469,USD,GBP,SWIFT
2023-01-02 10:00:00,Bank B,Bank A,ACC000034,907.1488113906363,1782.1823293346893,EUR,GBP,WIRE
2023-01-02 11:00:00,Bank A,Bank A,ACC000035,2564.668555294273,458.7426629479096,GBP,GBP,SWIFT
2023-01-02 12:00:00,Bank D,Bank C,ACC000036,880.6202665983187,47771.86955467247,GBP,GBP,SWIFT
2023-01-02 13:00:00,Bank A,Bank B,ACC000037,12317.518290212001,1923.1332345352894,USD,EUR,WIRE
2023-01-02 14:00:00,Bank A,Bank D,ACC000038,25427.57328388339,20822.734542042897,EUR,EUR,ACH
2023-01-02 15:00:00,Bank C,Bank B,ACC000039,824.9926652972081,1579.9692004977649,USD,GBP,WIRE
2023-01-02 16:00:00,Bank C,Bank D,ACC000040,152.61386502742948,2502.095945287805,GBP,EUR,SWIFT
2023-01-02 17:00:00,Bank C,Bank A,ACC000041,11169.379931843208,3658.7741895101854,GBP,USD,SWIFT
2023-01-02 18:00:00,Bank B,Bank C,ACC000042,258.80488885568576,670.8795303090161,USD,GBP,WIRE
2023-01-02 19:00:00,Bank D,Bank C,ACC000043,1711.0346714826042,4215.3191934664455,USD,USD,WIRE
2023-01-02 20:00:00,Bank D,Bank B,ACC000044,1655.0156089630186,5217.334651345484,EUR,USD,WIRE
2023-01-02 21:00:00,Bank D,Bank C,ACC000045,427.77477523849325,348.2548015721172,GBP,USD,WIRE
2023-01-02 22:00:00,Bank D,Bank B,ACC000046,3364.2725035190465,1407.733253124231,USD,GBP,ACH
2023-01-02 23:00:00,Bank C,Bank B,ACC000047,2454.2456025611114,712.6968819492722,GBP,GBP,SWIFT
2023-01-03 00:00:00,Bank B,Bank D,ACC000048,2909.7525939457396,546.1908903314481,USD,GBP,WIRE
2023-01-03 01:00:00,Bank B,Bank B,ACC000049,1106.389957604995,1458.0273855604094,EUR,EUR,WIRE
2023-01-03 02:00:00,Bank C,Bank D,ACC000050,266.26070774199314,3432.221274204821,GBP,GBP,WIRE
2023-01-03 03:00:00,Bank B,Bank C,ACC000051,2915.720599591245,1722.7247499190516,EUR,USD,SWIFT
2023-01-03 04:00:00,Bank C,Bank B,ACC000052,836.8364079128149,796.7074521233758,EUR,GBP,SWIFT
2023-01-03 05:00:00,Bank D,Bank B,ACC000053,273.20429722683775,1835.1127081455083,GBP,EUR,SWIFT
2023-01-03 06:00:00,Bank C,Bank A,ACC000054,4238.816432476098,765.1132227111652,USD,GBP,WIRE
2023-01-03 07:00:00,Bank D,Bank B,ACC000055,8949.988447648253,1655.923769095246,EUR,EUR,SWIFT
2023-01-03 08:00:00,Bank D,Bank B,ACC000056,10413.22898408169,26021.037919127382,EUR,USD,WIRE
2023-01-03 09:00:00,Bank A,Bank A,ACC000057,9500.70375770507,137.39230044490097,GBP,USD,WIRE
2023-01-03 10:00:00,Bank C,Bank A,ACC000058,8641.657176080082,19224.553135644564,GBP,USD,ACH
2023-01-03 11:00:00,Bank A,Bank C,ACC000059,749.6032719432544,235.3197148942914,GBP,USD,ACH
2023-01-03 12:00:00,Bank C,Bank B,ACC000060,583.7901265044072,3745.564843243544,EUR,USD,ACH
2023-01-03 13:00:00,Bank C,Bank C,ACC000061,39363.73599588859,5514.925724800211,USD,USD,SWIFT
2023-01-03 14:00:00,Bank A,Bank C,ACC000062,502.6309075847736,324.51398178913024,USD,EUR,ACH
2023-01-03 15:00:00,Bank A,Bank A,ACC000063,2287.6247014867836,2197.925471754702,GBP,USD,SWIFT
2023-01-03 16:00:00,Bank C,Bank D,ACC000064,5790.311034612058,12880.484322670025,EUR,GBP,WIRE
2023-01-03 17:00:00,Bank B,Bank C,ACC000065,692.0742429935036,403.7569536448501,EUR,EUR,ACH
2023-01-03 18:00:00,Bank D,Bank D,ACC000066,3072.508764409013,313.24957681689887,EUR,EUR,ACH
2023-01-03 19:00:00,Bank A,Bank B,ACC000067,749.9174649269097,909.157650932482,GBP,GBP,SWIFT
2023-01-03 20:00:00,Bank D,Bank A,ACC000068,731.5785674064333,328.9523968360631,EUR,GBP,SWIFT
2023-01-03 21:00:00,Bank B,Bank B,ACC000069,3404.3343146830025,379.3757076346623,EUR,GBP,ACH
2023-01-03 22:00:00,Bank B,Bank B,ACC000070,5417.540955431495,1231.0475965958599,USD,GBP,SWIFT
2023-01-03 23:00:00,Bank B,Bank A,ACC000071,2089.5203129562274,417.4348005485526,GBP,GBP,SWIFT
2023-01-04 00:00:00,Bank A,Bank B,ACC000072,569.7685492255291,1679.9835656975042,GBP,USD,SWIFT
2023-01-04 01:00:00,Bank B,Bank A,ACC000073,658.1227741027217,4866.564841760361,GBP,EUR,WIRE
2023-01-04 02:00:00,Bank A,Bank D,ACC000074,1187.8678587647069,945.2454082970494,EUR,GBP,ACH
2023-01-04 03:00:00,Bank B,Bank B,ACC000075,1511.6092063527442,1249.065638997859,EUR,GBP,SWIFT
2023-01-04 04:00:00,Bank D,Bank A,ACC000076,408.3538548650396,8251.058159285636,USD,EUR,SWIFT
2023-01-04 05:00:00,Bank D,Bank C,ACC000077,2259.8143425548174,334.4203994944011,GBP,EUR,WIRE
2023-01-04 06:00:00,Bank C,Bank B,ACC000078,1194.536269003289,3609.177533017909,EUR,USD,WIRE
2023-01-04 07:00:00,Bank D,Bank D,ACC000079,197.21444329782705,3199.844832961049,USD,EUR,WIRE
2023-01-04 08:00:00,Bank C,Bank A,ACC000080,433.14542128353185,2576.8354084561033,EUR,GBP,WIRE
2023-01-04 09:00:00,Bank D,Bank B,ACC000081,662.4011414998579,3990.8034308654155,EUR,EUR,ACH
2023-01-04 10:00:00,Bank A,Bank B,ACC000082,1019.5761810528836,1451.8225337192914,GBP,GBP,ACH
2023-01-04 11:00:00,Bank D,Bank B,ACC000083,7253.785833607546,612.2070268042296,GBP,EUR,SWIFT
2023-01-04 12:00:00,Bank C,Bank D,ACC000084,1391.5469293705264,3276.6383784979716,EUR,EUR,ACH
